lsoa_code,ward_code
E01001379,E05013540
E01001380,E05013540
E01001381,E05013540
E01001382,E05013541
E01001383,E05013541
E01001384,E05013541
E01001385,E05013541
E01001386,E05013541
E01001387,E05013541
E01001388,E05013541
E01001389,E05013541
E01001390,E05013686
E01001391,E05013673
E01001392,E05013686
E01001393,E05013686
E01001394,E05013673
E01001395,E05013673
E01001396,E05013673
E01001397,E05013673
E01001398,E05013676
E01001399,E05013676
E01001400,E05013676
E01001401,E05013691
E01001402,E05013676
E01001403,E05013676
E01001404,E05013683
E01001405,E05013676
E01001406,E05013691
E01001407,E05013695
E01001408,E05013695
E01001409,E05013691
E01001410,E05013695
E01001411,E05013695
E01001412,E05013695
E01001413,E05013695
E01001414,E05013695
E01001415,E05013678
E01001416,E05013687
E01001417,E05013690
E01001418,E05013678
E01001419,E05013678
E01001420,E05013678
E01001421,E05013678
E01001422,E05013678
E01001423,E05013679
E01001424,E05013679
E01001425,E05013679
E01001426,E05013679
E01001427,E05013679
E01001428,E05013679
E01001429,E05013679
E01001430,E05013679
E01001431,E05013679
E01001432,E05013679
E01001433,E05013674
E01001434,E05013674
E01001435,E05013674
E01001436,E05013674
E01001437,E05013674
E01001438,E05013674
E01001439,E05013674
E01001440,E05013674
E01001441,E05013674
E01001442,E05013680
E01001444,E05013680
E01001445,E05013680
E01001446,E05013680
E01001447,E05013680
